BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR,Precint,Police Stations,Crime Rates,Grocery Stores
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,16,5980000,12483750,10475000,42500000,2014,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,13,650000,8247282,6500000,19280000,2014,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,3,5780000,10840000,5850000,20890000,2014,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,2,4150000,5175000,5175000,6200000,2014,,,,
MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,1,5500000,5500000,5500000,5500000,2014,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,6,3300000,6745833,5425000,13500000,2014,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,2,4100000,5212500,5212500,6325000,2014,,,,
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY HOMES,2,4235000,8367500,8367500,12500000,2014,,,,
MANHATTAN,MIDTOWN WEST,02 TWO FAMILY HOMES,1,15000000,15000000,15000000,15000000,2014,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,2,3375000,4237500,4237500,5100000,2014,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY HOMES,1,6000000,6000000,6000000,6000000,2014,,,,
MANHATTAN,MURRAY HILL,03 THREE FAMILY HOMES,1,5375000,5375000,5375000,5375000,2014,,,,
MANHATTAN,SOHO,01 ONE FAMILY HOMES,1,6250000,6250000,6250000,6250000,2014,,,,
MANHATTAN,SOHO,02 TWO FAMILY HOMES,3,6500000,16219000,9907000,32250000,2014,,,,
MANHATTAN,SOHO,03 THREE FAMILY HOMES,3,4360000,7154050,8551075,8551075,2014,,,,
MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,1,5500000,5500000,5500000,5500000,2014,,,,
MANHATTAN,TRIBECA,03 THREE FAMILY HOMES,1,11165111,11165111,11165111,11165111,2014,,,,
MANHATTAN,ALPHABET CITY,01 ONE FAMILY HOMES,1,6500000,6500000,6500000,6500000,2015,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,2,2900000,3337500,3337500,3775000,2015,,,,
